Entity,Code,Day,people_vaccinated_per_hundred,willingness_covid_vaccinate_this_week_pct_pop,uncertain_covid_vaccinate_this_week_pct_pop,unwillingness_covid_vaccinate_this_week_pct_pop
Australia,AUS,2021-03-15,0.71,51.77,19.8,27.72
Australia,AUS,2021-04-15,4.82,43.73,20.13,31.32
Australia,AUS,2021-05-15,10.7,37.45,20.71,31.14
Australia,AUS,2021-06-15,20,32.64,18.91,28.45
Australia,AUS,2021-07-15,27.57,31.04,15.7,25.69
Australia,AUS,2021-08-15,38.41,28.97,14.2,18.42
Australia,AUS,2021-09-15,56.2,17.03,9.19,17.58
Australia,AUS,2021-10-15,70.26,7.72,5.25,16.77
Australia,AUS,2021-11-15,76.03,3.72,4.91,15.34
Australia,AUS,2021-12-15,78.6,2.33,4.37,14.7
Canada,CAN,2020-12-15,0,48.85,19.8,31.35
Canada,CAN,2021-01-15,1.3,54.78,15.71,28.21
Canada,CAN,2021-02-15,2.6,54.12,15.82,27.46
Canada,CAN,2021-03-15,6.78,55.85,13.11,24.26
Canada,CAN,2021-04-15,22.07,41.8,11.68,24.45
Canada,CAN,2021-05-15,44.16,23.03,9.49,23.32
Canada,CAN,2021-06-15,65.17,8.25,6.52,20.06
Canada,CAN,2021-07-15,69.61,3.98,7.96,18.45
Canada,CAN,2021-08-15,72.19,3.91,6.79,17.11
Canada,CAN,2021-09-15,74.85,3.27,4.27,17.61
Canada,CAN,2021-10-15,77.53,2.3,3.49,16.68
Canada,CAN,2021-11-15,78.86,2.07,3.16,15.91
Canada,CAN,2021-12-15,82.21,2.68,2.69,12.42
Denmark,DNK,2020-12-15,0,53.15,16.38,30.47
Denmark,DNK,2021-01-15,2.6,63.98,15.18,18.24
Denmark,DNK,2021-02-15,4.03,69.07,10.42,16.48
Denmark,DNK,2021-03-15,9.75,58.38,11.48,20.39
Denmark,DNK,2021-04-15,17.17,55.29,9.73,17.81
Denmark,DNK,2021-05-15,27.86,41.73,11.64,18.77
Denmark,DNK,2021-06-15,48.45,26.41,10.4,14.74
Denmark,DNK,2021-07-15,65.85,11.82,5.65,16.68
Denmark,DNK,2021-08-15,74.26,4.01,5.34,16.39
Denmark,DNK,2021-09-15,76.14,3.28,4.06,16.52
Denmark,DNK,2021-10-15,76.7,2.73,3.22,17.35
Denmark,DNK,2021-11-15,77.75,1.9,2.95,17.4
Denmark,DNK,2021-12-15,80.94,2.15,1.83,15.08
France,FRA,2021-01-15,0.63,35.39,17.45,46.53
France,FRA,2021-02-15,3.64,39.23,14.68,42.45
France,FRA,2021-03-15,8.23,36.78,15.29,39.7
France,FRA,2021-04-15,18.29,31.55,14.48,35.68
France,FRA,2021-05-15,30.53,23.33,12.79,33.35
France,FRA,2021-06-15,46.43,8.92,9.8,34.85
France,FRA,2021-07-15,55.26,7.79,7.56,29.39
France,FRA,2021-08-15,69.1,3.59,4.34,22.97
France,FRA,2021-09-15,74.1,2.09,3.86,19.95
France,FRA,2021-10-15,75.79,2.51,1.94,19.76
France,FRA,2021-11-15,76.77,2.02,2.07,19.14
France,FRA,2021-12-15,77.73,1.98,1.84,18.45
Germany,DEU,2021-01-15,1.33,51.32,16.63,30.72
Germany,DEU,2021-02-15,3.4,57.4,13.35,25.85
Germany,DEU,2021-03-15,8.23,53.51,13.28,24.98
Germany,DEU,2021-04-15,18.52,47.24,12.85,21.39
Germany,DEU,2021-05-15,36.78,33.05,10.85,19.32
Germany,DEU,2021-06-15,49.16,19.07,8.87,22.9
Germany,DEU,2021-07-15,59.56,8.3,8.08,24.06
Germany,DEU,2021-08-15,63.08,6.27,6.69,23.96
Germany,DEU,2021-09-15,66.44,4.21,5.38,23.97
Germany,DEU,2021-10-15,68.33,3.16,4.93,23.58
Germany,DEU,2021-11-15,69.6,2.29,5.35,22.76
Germany,DEU,2021-12-15,72.38,3.35,4.06,20.21
Italy,ITA,2021-01-15,1.87,54.24,17.66,26.23
Italy,ITA,2021-02-15,3.02,58.91,15.67,22.4
Italy,ITA,2021-03-15,8.25,53.69,13.24,24.82
Italy,ITA,2021-04-15,17.1,47.47,12.04,23.39
Italy,ITA,2021-05-15,31.6,38.6,10.5,19.3
Italy,ITA,2021-06-15,50.13,22.42,9.4,18.05
Italy,ITA,2021-07-15,60.31,10.42,9.28,19.99
Italy,ITA,2021-08-15,67.6,7.19,6.44,18.77
Italy,ITA,2021-09-15,72.99,4.26,5.2,17.55
Italy,ITA,2021-10-15,76.48,2.49,3.23,17.8
Italy,ITA,2021-11-15,77.69,2.37,3.94,16
Italy,ITA,2021-12-15,79.09,2.34,1.93,16.64
Japan,JPN,2021-03-15,0.22,53.28,25.07,21.43
Japan,JPN,2021-04-15,0.95,55.51,24.04,19.5
Japan,JPN,2021-05-15,4.24,58.13,21.82,15.81
Japan,JPN,2021-06-15,18.26,49.23,18.54,13.97
Japan,JPN,2021-07-15,34.77,36.56,15.13,13.54
Japan,JPN,2021-08-15,49.73,28.25,9.97,12.05
Japan,JPN,2021-09-15,65.17,14.84,8.22,11.77
Japan,JPN,2021-10-15,75.05,4.91,5.88,14.16
Japan,JPN,2021-11-15,78.78,3.41,5.62,12.19
Netherlands,NLD,2021-01-15,0.2,61.61,18.05,20.14
Netherlands,NLD,2021-02-15,4.02,58.65,16.81,20.52
Netherlands,NLD,2021-09-15,73.79,3.23,3.59,19.39
Netherlands,NLD,2021-10-15,75.22,2.21,2.03,20.54
Netherlands,NLD,2021-11-15,76.68,2.18,1.85,19.29
Netherlands,NLD,2021-12-15,77.4,2.31,2.85,17.44
Norway,NOR,2020-12-15,0,45.7,21.8,32.5
Norway,NOR,2021-01-15,0.94,54.9,17.9,26.26
Norway,NOR,2021-02-15,4.43,56.84,13.93,24.8
Norway,NOR,2021-03-15,8.43,52.54,13.01,26.02
Norway,NOR,2021-04-15,19.31,47.17,11.05,22.47
Norway,NOR,2021-05-15,29.38,38.25,12.27,20.1
Norway,NOR,2021-06-15,37.28,31.27,9.79,21.66
Norway,NOR,2021-07-15,58.98,13.46,7.38,20.18
Norway,NOR,2021-08-15,69.25,6.43,4.82,19.5
Singapore,SGP,2021-01-15,0.11,36.32,34.87,28.7
Singapore,SGP,2021-02-15,4.58,45.3,29.37,20.75
Singapore,SGP,2021-03-15,10.07,45.21,25.03,19.69
Singapore,SGP,2021-05-15,34.84,31.9,17.53,15.73
Singapore,SGP,2021-06-15,49.52,26.73,12.3,11.45
Singapore,SGP,2021-07-15,74.31,7.02,9.3,9.37
Singapore,SGP,2021-08-15,82.66,2.99,6.74,7.61
South Korea,KOR,2021-03-15,1.22,48.35,27.5,22.93
South Korea,KOR,2021-04-15,2.77,47.53,26.75,22.95
South Korea,KOR,2021-05-15,7.39,41.15,28.57,22.89
South Korea,KOR,2021-06-15,26,38.44,20.12,15.44
South Korea,KOR,2021-07-15,31.32,36.23,18.6,13.85
South Korea,KOR,2021-08-15,43.89,26.78,16.89,12.44
South Korea,KOR,2021-09-15,68.4,10.29,8.2,13.11
Spain,ESP,2021-01-15,1.64,51.88,20.93,25.55
Spain,ESP,2021-02-15,3.27,53.26,19.02,24.45
Spain,ESP,2021-03-15,8.45,49.24,18.01,24.3
Spain,ESP,2021-04-15,18.47,43.77,17.32,20.44
Spain,ESP,2021-05-15,31.9,35.19,13.87,19.04
Spain,ESP,2021-06-15,47.17,25.1,12,15.73
Spain,ESP,2021-07-15,62.11,15.71,8,14.18
Spain,ESP,2021-08-15,74.27,5.9,6.15,13.68
Spain,ESP,2021-09-15,79.88,3.78,3.65,12.69
Spain,ESP,2021-10-15,81.01,1.95,3.25,13.79
Spain,ESP,2021-11-15,81.66,2.52,2.98,12.84
Sweden,SWE,2021-02-15,3.86,59.43,12.16,24.55
Sweden,SWE,2021-03-15,8.84,56.43,11.13,23.6
Sweden,SWE,2021-04-15,15.69,47.95,12.36,24
Sweden,SWE,2021-05-15,30.73,36.99,10.1,22.18
Sweden,SWE,2021-06-15,42.64,27.39,8.26,21.71
Sweden,SWE,2021-07-15,56.25,12.39,8.14,23.22
Sweden,SWE,2021-08-15,65.79,6.27,5.75,22.19
Sweden,SWE,2021-09-15,69.23,4.06,5.64,21.07
United Kingdom,GBR,2021-01-15,5.24,74,7.95,12.81
United Kingdom,GBR,2021-02-15,22.84,58.89,6.78,11.49
United Kingdom,GBR,2021-03-15,36.42,42.91,6.57,14.1
United Kingdom,GBR,2021-04-15,47.76,35.13,4.22,12.89
United Kingdom,GBR,2021-05-15,53.62,28.75,4.54,13.09
United Kingdom,GBR,2021-06-15,61.61,11.75,5.27,21.37
United Kingdom,GBR,2021-07-15,67.67,4.81,6.02,21.5
United Kingdom,GBR,2021-08-15,69.4,3.43,5.63,21.54
United Kingdom,GBR,2021-09-15,71.11,2.74,4.25,21.9
United Kingdom,GBR,2021-10-15,72.39,2.53,4.2,20.88
United Kingdom,GBR,2021-11-15,74.21,3.4,2.83,19.56
United Kingdom,GBR,2021-12-15,75.3,3.37,3.37,17.96
United States,USA,2021-02-15,13.29,40.91,13.1,32.7
United States,USA,2021-03-15,24.07,32.51,13.74,29.68
United States,USA,2021-04-15,41.06,20.36,9.27,29.31
United States,USA,2021-05-15,49.27,11.68,10.82,28.23
United States,USA,2021-06-15,54,7.64,7.25,31.11
United States,USA,2021-07-15,56.39,7.28,8.31,28.02
United States,USA,2021-08-15,60.27,7.17,8.94,23.62
United States,USA,2021-09-15,63.71,6.58,6.17,23.54
United States,USA,2021-10-15,65.89,3.74,5.13,25.24